"L1","L2","DescriptorName"
"A","A01","Body Regions"
"A","A02","Musculoskeletal System"
"A","A03","Digestive System"
"A","A04","Respiratory System"
"A","A05","Urogenital System"
"A","A06","Endocrine System"
"A","A07","Cardiovascular System"
"A","A08","Nervous System"
"A","A09","Sense Organs"
"A","A10","Tissues"
"A","A11","Cells"
"A","A12","Fluids and Secretions"
"A","A13","Animal Structures"
"A","A14","Stomatognathic System"
"A","A15","Hemic and Immune Systems"
"A","A16","Embryonic Structures"
"A","A17","Integumentary System"
"A","A18","Plant Structures"
"A","A19","Fungal Structures"
"A","A20","Bacterial Structures"
"A","A21","Viral Structures"
"B","B01","Eukaryota"
"B","B02","Archaea"
"B","B03","Bacteria"
"B","B04","Viruses"
"B","B05","Organism Forms"
"C","C01","Bacterial Infections and Mycoses"
"C","C02","Virus Diseases"
"C","C03","Parasitic Diseases"
"C","C04","Neoplasms"
"C","C05","Musculoskeletal Diseases"
"C","C06","Digestive System Diseases"
"C","C07","Stomatognathic Diseases"
"C","C08","Respiratory Tract Diseases"
"C","C09","Otorhinolaryngologic Diseases"
"C","C10","Nervous System Diseases"
"C","C11","Eye Diseases"
"C","C12","Male Urogenital Diseases"
"C","C13","Female Urogenital Diseases and Pregnancy Complications"
"C","C14","Cardiovascular Diseases"
"C","C15","Hemic and Lymphatic Diseases"
"C","C16","Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"C","C17","Skin and Connective Tissue Diseases"
"C","C18","Nutritional and Metabolic Diseases"
"C","C19","Endocrine System Diseases"
"C","C20","Immune System Diseases"
"C","C21","Disorders of Environmental Origin"
"C","C22","Animal Diseases"
"C","C23","Pathological Conditions, Signs and Symptoms"
"C","C24","Occupational Diseases"
"C","C25","Chemically-Induced Disorders"
"C","C26","Wounds and Injuries"
"D","D01","Inorganic Chemicals"
"D","D02","Organic Chemicals"
"D","D03","Heterocyclic Compounds"
"D","D04","Polycyclic Compounds"
"D","D05","Macromolecular Substances"
"D","D06","Hormones, Hormone Substitutes, and Hormone Antagonists"
"D","D08","Enzymes and Coenzymes"
"D","D09","Carbohydrates"
"D","D10","Lipids"
"D","D12","Amino Acids, Peptides, and Proteins"
"D","D13","Nucleic Acids, Nucleotides, and Nucleosides"
"D","D20","Complex Mixtures"
"D","D23","Biological Factors"
"D","D25","Biomedical and Dental Materials"
"D","D26","Pharmaceutical Preparations"
"D","D27","Chemical Actions and Uses"
"E","E01","Diagnosis"
"E","E02","Therapeutics"
"E","E03","Anesthesia and Analgesia"
"E","E04","Surgical Procedures, Operative"
"E","E05","Investigative Techniques"
"E","E06","Dentistry"
"E","E07","Equipment and Supplies"
"F","F01","Behavior and Behavior Mechanisms"
"F","F02","Psychological Phenomena and Processes"
"F","F03","Mental Disorders"
"F","F04","Behavioral Disciplines and Activities"
"G","G01","Physical Phenomena"
"G","G02","Chemical Phenomena"
"G","G03","Metabolic Phenomena"
"G","G04","Cell Physiological Phenomena"
"G","G05","Genetic Phenomena"
"G","G06","Microbiological Phenomena"
"G","G07","Physiological Phenomena"
"G","G08","Reproductive and Urinary Physiological Phenomena"
"G","G09","Circulatory and Respiratory Physiological Phenomena"
"G","G10","Digestive System and Oral Physiological Phenomena"
"G","G11","Musculoskeletal and Neural Physiological Phenomena"
"G","G12","Immune System Phenomena"
"G","G13","Integumentary System Physiological Phenomena"
"G","G14","Ocular Physiological Phenomena"
"G","G15","Plant Physiological Phenomena"
"G","G16","Biological Phenomena"
"G","G17","Mathematical Concepts"
"H","H01","Natural Science Disciplines"
"H","H02","Health Occupations"
"I","I01","Social Sciences"
"I","I02","Education"
"I","I03","Human Activities"
"J","J01","Technology, Industry, and Agriculture"
"J","J02","Food and Beverages"
"K","K01","Humanities"
"L","L01","Information Science"
"M","M01","Persons"
"N","N01","Population Characteristics"
"N","N02","Health Care Facilities, Manpower, and Services"
"N","N03","Health Care Economics and Organizations"
"N","N04","Health Services Administration"
"N","N05","Health Care Quality, Access, and Evaluation"
"N","N06","Environment and Public Health"
"V","V01","Publication Components"
"V","V02","Publication Formats"
"V","V03","Study Characteristics"
"V","V04","Support of Research"
"Z","Z01","Geographic Locations"
