"L1","L2","L3","DescriptorName"
"A","A01","A01.111","Anatomic Landmarks"
"A","A01","A01.236","Breast"
"A","A01","A01.378","Extremities"
"A","A01","A01.456","Head"
"A","A01","A01.598","Neck"
"A","A01","A01.635","Organs at Risk"
"A","A01","A01.719","Perineum"
"A","A01","A01.923","Torso"
"A","A01","A01.935","Transplant Donor Site"
"A","A01","A01.941","Transplants"
"A","A01","A01.947","Trigger Points"
"A","A01","A01.960","Viscera"
"A","A02","A02.165","Cartilage"
"A","A02","A02.340","Fascia"
"A","A02","A02.513","Ligaments"
"A","A02","A02.633","Muscles"
"A","A02","A02.835","Skeleton"
"A","A02","A02.880","Tendons"
"A","A03","A03.159","Biliary Tract"
"A","A03","A03.556","Gastrointestinal Tract"
"A","A03","A03.620","Liver"
"A","A03","A03.734","Pancreas"
"A","A04","A04.329","Larynx"
"A","A04","A04.411","Lung"
"A","A04","A04.531","Nose"
"A","A04","A04.623","Pharynx"
"A","A04","A04.716","Pleura"
"A","A04","A04.760","Respiratory Mucosa"
"A","A04","A04.889","Trachea"
"A","A05","A05.360","Genitalia"
"A","A05","A05.810","Urinary Tract"
"A","A06","A06.224","Chromaffin System"
"A","A06","A06.390","Enteroendocrine Cells"
"A","A06","A06.407","Endocrine Glands"
"A","A06","A06.688","Neurosecretory Systems"
"A","A07","A07.025","Blood-Air Barrier"
"A","A07","A07.030","Blood-Aqueous Barrier"
"A","A07","A07.035","Blood-Brain Barrier"
"A","A07","A07.037","Blood-Nerve Barrier"
"A","A07","A07.040","Blood-Retinal Barrier"
"A","A07","A07.045","Blood-Testis Barrier"
"A","A07","A07.231","Blood Vessels"
"A","A07","A07.500","Glomerular Filtration Barrier"
"A","A07","A07.541","Heart"
"A","A08","A08.186","Central Nervous System"
"A","A08","A08.340","Ganglia"
"A","A08","A08.511","Nerve Net"
"A","A08","A08.561","Nerve Tissue"
"A","A08","A08.612","Neural Pathways"
"A","A08","A08.637","Neuroglia"
"A","A08","A08.675","Neurons"
"A","A08","A08.713","Neurosecretory Systems"
"A","A08","A08.800","Peripheral Nervous System"
"A","A08","A08.850","Synapses"
"A","A09","A09.246","Ear"
"A","A09","A09.371","Eye"
"A","A09","A09.531","Nose"
"A","A09","A09.846","Taste Buds"
"A","A10","A10.082","Body Fluid Compartments"
"A","A10","A10.165","Connective Tissue"
"A","A10","A10.272","Epithelium"
"A","A10","A10.336","Exocrine Glands"
"A","A10","A10.549","Lymphoid Tissue"
"A","A10","A10.615","Membranes"
"A","A10","A10.690","Muscles"
"A","A10","A10.755","Nerve Tissue"
"A","A10","A10.802","Organoids"
"A","A10","A10.810","Peritoneal Stomata"
"A","A10","A10.850","Surgically-Created Structures"
"A","A11","A11.031","Acinar Cells"
"A","A11","A11.063","Antibody-Producing Cells"
"A","A11","A11.066","Antigen-Presenting Cells"
